t,drumAngleDeg,drumVelDeg_s,drumAccDeg_s2,TN2,dTN2,Tm,dTm,Thp,dThp,Tf,dTf,c[1],c[2],c[3],c[4],c[5],c[6],dc[1],dc[2],dc[3],dc[4],dc[5],dc[6],P_MW,n,dn,rho,rho_dollars,m_dot_steam,Q_to_steam
0.0,45.0,0.0,0.0,878.1500244140625,0.0,1150.1500244140625,0.48124977946281433,1073.1500244140625,0.0,1173.1500244140625,-0.18400000035762787,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.9387063738510613e-15,0.0,0.0,2.947143077850342,6000000.0
0.10000000149011612,45.038124084472656,0.38123875856399536,3.812387704849243,878.1500244140625,0.0007520735962316394,1150.197265625,0.46308770775794983,1073.1519775390625,0.03761190176010132,1173.131591796875,-0.18428032100200653,0.999998152256012,0.9999954700469971,0.9999833703041077,0.9999585747718811,0.9998858571052551,0.9996395707130432,-4.45033292635344e-05,-0.00010913574806181714,-0.00040121417259797454,-0.0009981866460293531,-0.002738592680543661,-0.008494831621646881,5.9799723625183105,0.9966620802879333,-0.04771047458052635,-3.120284964097664e-05,-0.00469988351687789,2.947143316268921,6000000.5
0.20000000298023224,45.07676315307617,0.3864067792892456,0.05168011784553528,878.1502075195312,0.0028034730348736048,1150.24267578125,0.4448550343513489,1073.1573486328125,0.06964227557182312,1173.113037109375,-0.18724174797534943,0.9999904632568359,0.999976634979248,0.999914288520813,0.9997875690460205,0.9994235634803772,0.9982765316963196,-0.00010948067938443273,-0.0002682427584659308,-0.0009821973508223891,-0.002423627767711878,-0.00649022264406085,-0.018524613231420517,5.9507012367248535,0.9917834997177124,-0.04967551305890083,-6.279694207478315e-05,-0.009458697400987148,2.9471445083618164,6000003.0
0.30000001192092896,45.11598205566406,0.3921560049057007,0.057492226362228394,878.150634765625,0.005879539065063,1150.2862548828125,0.42713335156440735,1073.1656494140625,0.09676278382539749,1173.0941162109375,-0.19064974784851074,0.9999761581420898,0.9999415874481201,0.9997862577438354,0.9994731545448303,0.9985933899879456,0.9960135817527771,-0.00017701387696433812,-0.00043330874177627265,-0.001580005162395537,-0.003865673206746578,-0.010097702033817768,-0.026552313938736916,5.92024040222168,0.9867067337036133,-0.05162570998072624,-9.482615860179067e-05,-0.014283050782978535,2.947147846221924,6000010.0
0.4000000059604645,45.15583801269531,0.3985774517059326,0.06421450525522232,878.1514282226562,0.009741295129060745,1150.328125,0.4098745882511139,1073.176513671875,0.11958614736795425,1173.074951171875,-0.19448652863502502,0.9999549984931946,0.9998897314071655,0.9995976686477661,0.9990138411521912,0.9974093437194824,0.9930258989334106,-0.0002470158797223121,-0.0006041091401129961,-0.002193681662902236,-0.005321953911334276,-0.01356764230877161,-0.03306017071008682,5.888628005981445,0.9814380407333374,-0.05349522456526756,-0.00012734529445879161,-0.01918119750916958,2.9471540451049805,6000022.5
0.5,45.196388244628906,0.4054906964302063,0.06913238018751144,878.152587890625,0.014186111278831959,1150.3681640625,0.3930366635322571,1073.189453125,0.13864648342132568,1173.0552978515625,-0.19873201847076416,0.9999266862869263,0.9998205304145813,0.999346911907196,0.998408317565918,0.9958850145339966,0.9894471168518066,-0.00031937743187882006,-0.0007803653716109693,-0.0028220820240676403,-0.006789674516767263,-0.01690477877855301,-0.03840653598308563,5.855911731719971,0.9759853482246399,-0.0552913174033165,-0.00016039460024330765,-0.024159200489521027,2.9471635818481445,6000042.0
0.6000000238418579,45.23766326904297,0.41274720430374146,0.07256525754928589,878.1542358398438,0.019042707979679108,1150.40673828125,0.3765818476676941,1073.2041015625,0.1544095128774643,1173.03515625,-0.20336732268333435,0.9998909831047058,0.9997334480285645,0.9990326762199402,0.9976555109024048,0.9940333366394043,0.9853795170783997,-0.00039399450179189444,-0.0009618123294785619,-0.0034641209058463573,-0.008266238495707512,-0.020113762468099594,-0.04286152869462967,5.822136878967285,0.9703561663627625,-0.05701466277241707,-0.00019400232122279704,-0.029221314936876297,2.947176694869995,6000068.5
0.699999988079071,45.279659271240234,0.41996094584465027,0.07213742285966873,878.1564331054688,0.02416682429611683,1150.4434814453125,0.36047759652137756,1073.22021484375,0.16728146374225616,1173.0145263671875,-0.20837047696113586,0.9998477697372437,0.9996280074119568,0.9986535906791687,0.9967547655105591,0.9918671250343323,0.9809019565582275,-0.0004707355983555317,-0.0011481179390102625,-0.004118476994335651,-0.009748503565788269,-0.023197175934910774,-0.04662281647324562,5.7873616218566895,0.9645602703094482,-0.05863230675458908,-0.00022816529963165522,-0.03436706215143204,2.9471936225891113,6000103.5
0.800000011920929,45.322383880615234,0.4272420108318329,0.07281053066253662,878.1591186523438,0.029437465593218803,1150.478759765625,0.34469470381736755,1073.2374267578125,0.17761680483818054,1172.993408203125,-0.2137211114168167,0.9997967481613159,0.9995036721229553,0.9982085227966309,0.9957056641578674,0.9893986582756042,0.976076066493988,-0.0005494783981703222,-0.0013389732921496034,-0.00478392606601119,-0.01123362872749567,-0.02615795098245144,-0.04984075203537941,5.751638889312744,0.958606481552124,-0.060170963406562805,-0.00026288937078788877,-0.03959732502698898,2.9472148418426514,6000146.5
0.8999999761581421,45.365821838378906,0.43439143896102905,0.0714942216873169,878.1622924804688,0.03475365415215492,1150.512451171875,0.3292072117328644,1073.255615234375,0.18572494387626648,1172.9718017578125,-0.21939891576766968,0.9997377991676331,0.9993600249290466,0.9976963996887207,0.9945080280303955,0.9866401553153992,0.9709504842758179,-0.0006300983368419111,-0.0015340647660195827,-0.005459237843751907,-0.012718801386654377,-0.02899862825870514,-0.052627719938755035,5.715024471282959,0.95250403881073,-0.06161362677812576,-0.000298164231935516,-0.044910550117492676,2.9472403526306152,6000198.0
1.0,45.40990447998047,0.44082802534103394,0.06436581164598465,878.1660766601562,0.04003160446882248,1150.544677734375,0.3139943778514862,1073.2745361328125,0.1918760985136032,1172.9495849609375,-0.22537633776664734,0.999670684337616,0.9991967082023621,0.9971163272857666,0.9931620359420776,0.9836036562919617,0.9655644297599792,-0.0007124096155166626,-0.0017329291440546513,-0.006142641417682171,-0.01419991534203291,-0.03171777352690697,-0.055056530982255936,5.677599906921387,0.9462666511535645,-0.06289859116077423,-0.0003339319955557585,-0.05029801279306412,2.9472696781158447,6000258.0
1.100000023841858,45.4545783996582,0.44674113392829895,0.059131257236003876,878.1702880859375,0.045202311128377914,1150.5753173828125,0.2990381419658661,1073.2939453125,0.19630658626556396,1172.9267578125,-0.2316262573003769,0.9995952844619751,0.9990133047103882,0.996467649936676,0.9916683435440063,0.9803013801574707,0.9599509239196777,-0.0007962272502481937,-0.0019351057708263397,-0.006832394748926163,-0.01567300409078598,-0.034314122051000595,-0.057182274758815765,5.639448165893555,0.9399080872535706,-0.06405818462371826,-0.0003701501991599798,-0.055753327906131744,2.947303533554077,6000326.5
1.2000000476837158,45.499778747558594,0.45199546217918396,0.05254334956407547,878.1751098632812,0.050209421664476395,1150.6044921875,0.28432270884513855,1073.313720703125,0.199223130941391,1172.9031982421875,-0.23812235891819,0.9995113611221313,0.9988095760345459,0.9957496523857117,0.9900278449058533,0.9767456650733948,0.9541381001472473,-0.0008813700405880809,-0.002140144584700465,-0.0075268070213496685,-0.017134301364421844,-0.03678673505783081,-0.05904688686132431,5.600649833679199,0.933441698551178,-0.06507974863052368,-0.00040676529170013964,-0.06126842647790909,2.947341203689575,6000403.5
