t,drumAngleDeg,drumVelDeg_s,drumAccDeg_s2,TN2,dTN2,Tm,dTm,Thp,dThp,Tf,dTf,c[1],c[2],c[3],c[4],c[5],c[6],dc[1],dc[2],dc[3],dc[4],dc[5],dc[6],P_MW,n,dn,rho,rho_dollars,m_dot_steam,Q_to_steam
0.0,45.0,0.0,0.0,878.1500244140625,0.0,1150.1500244140625,0.48124977946281433,1073.1500244140625,0.0,1173.1500244140625,-0.18400000035762787,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.9387063738510613e-15,0.0,0.0,2.947143077850342,6000000.0
0.10000000149011612,45.08351135253906,0.8351187109947205,8.351186752319336,878.1500244140625,0.0007520573562942445,1150.1971435546875,0.4611518085002899,1073.1519775390625,0.03754564747214317,1173.13134765625,-0.1908080279827118,0.9999960064888,0.9999901652336121,0.9999638795852661,0.9999100565910339,0.9997518658638,0.9992155432701111,-9.71802874119021e-05,-0.0002383167011430487,-0.0008761361241340637,-0.0021798310335725546,-0.005981101654469967,-0.018557138741016388,5.9562668800354,0.9927111268043518,-0.10273174941539764,-6.812495848862454e-05,-0.010261221788823605,2.947143316268921,6000000.5
0.20000000298023224,45.166656494140625,0.8314470052719116,-0.0367170087993145,878.1502075195312,0.002796243643388152,1150.2421875,0.4401271343231201,1073.1573486328125,0.06931699812412262,1173.1116943359375,-0.20282582938671112,0.9999793767929077,0.9999494552612305,0.999814510345459,0.9995402693748474,0.9987524747848511,0.9962702989578247,-0.00023549071920569986,-0.0005769787239842117,-0.0021125648636370897,-0.0052123605273664,-0.013953959569334984,-0.039781924337148666,5.893958568572998,0.9823263883590698,-0.10487272590398788,-0.00013595526979770511,-0.020478062331676483,2.9471445083618164,6000003.0
0.30000001192092896,45.249305725097656,0.8264930844306946,-0.049539126455783844,878.150634765625,0.005851575639098883,1150.28515625,0.41952770948410034,1073.16552734375,0.09598071128129959,1173.0908203125,-0.21514616906642914,0.9999488592147827,0.9998746514320374,0.9995413422584534,0.9988695383071899,0.9969823360443115,0.9914548993110657,-0.0003754962526727468,-0.0009191417484544218,-0.003351068589836359,-0.008196440525352955,-0.02139180526137352,-0.05607340857386589,5.830804347991943,0.971800684928894,-0.1057940423488617,-0.00020337699970696121,-0.030633362010121346,2.947147846221924,6000010.0
0.4000000059604645,45.331356048583984,0.8204967975616455,-0.059962935745716095,878.1514282226562,0.009672516025602818,1150.326171875,0.39934271574020386,1073.17626953125,0.1181657612323761,1173.068603515625,-0.22764195501804352,0.9999042749404907,0.9997655749320984,0.9991446137428284,0.9979037642478943,0.9944959878921509,0.9852097630500793,-0.0005162136512808502,-0.0012623891234397888,-0.004582790657877922,-0.01111159659922123,-0.02827851101756096,-0.06847818940877914,5.767245292663574,0.9612075686454773,-0.10625345259904861,-0.00027030293131247163,-0.04071398079395294,2.9471540451049805,6000022.5
0.5,45.41270065307617,0.8134646415710449,-0.07032134383916855,878.152587890625,0.014050900936126709,1150.3651123046875,0.37955352663993835,1073.1890869140625,0.13642281293869019,1173.0452880859375,-0.24023489654064178,0.999845564365387,0.9996222257614136,0.9986252784729004,0.9966503977775574,0.9913482069969177,0.9778795838356018,-0.0006570463883690536,-0.0016052572755143046,-0.0058024488389492035,-0.013946562074124813,-0.03462259843945503,-0.07785216718912125,5.703550338745117,0.9505917429924011,-0.10629084706306458,-0.00033664630609564483,-0.05070685222744942,2.9471633434295654,6000041.5
0.6000000238418579,45.49324417114258,0.8054080605506897,-0.08056607097387314,878.1542358398438,0.018810881301760674,1150.402099609375,0.3601439297199249,1073.2034912109375,0.15123392641544342,1173.0206298828125,-0.2528572678565979,0.999772846698761,0.9994446039199829,0.997984766960144,0.9951180219650269,0.9875925183296204,0.9697336554527283,-0.000797478249296546,-0.0019464819924905896,-0.0070055401884019375,-0.016692185774445534,-0.0404367595911026,-0.08485323190689087,5.639951229095459,0.9399918913841248,-0.10597258061170578,-0.00040232110768556595,-0.06059902533888817,2.947176456451416,6000068.0
0.699999988079071,45.57290267944336,0.796598494052887,-0.08809588104486465,878.1563720703125,0.023804523050785065,1150.4371337890625,0.34109845757484436,1073.21923828125,0.1630212515592575,1172.99462890625,-0.2654549181461334,0.9996861219406128,0.9992330074310303,0.9972249269485474,0.9933158159255981,0.9832811951637268,0.9609829187393188,-0.0009370981715619564,-0.002285059541463852,-0.008188556879758835,-0.019341925159096718,-0.045739032328128815,-0.08999514579772949,5.576633453369141,0.9294388890266418,-0.10538050532341003,-0.00046726351138204336,-0.07038088142871857,2.947193145751953,6000102.0
0.800000011920929,45.6516227722168,0.7871919274330139,-0.09406539797782898,878.1589965820312,0.028907982632517815,1150.4703369140625,0.32240229845046997,1073.2359619140625,0.17215456068515778,1172.967529296875,-0.27798527479171753,0.9995855093002319,0.9989877343177795,0.996347963809967,0.9912536144256592,0.9784642457962036,0.9517927169799805,-0.0010755837429314852,-0.0026202055159956217,-0.009348827414214611,-0.021891409531235695,-0.05055138096213341,-0.0936802551150322,5.513741970062256,0.918956995010376,-0.10457045584917068,-0.0005314223235473037,-0.0800447016954422,2.947214126586914,6000144.5
0.8999999761581421,45.72934341430664,0.7772301435470581,-0.09961780905723572,878.162109375,0.03401818126440048,1150.5015869140625,0.3040419816970825,1073.2535400390625,0.17895784974098206,1172.9390869140625,-0.2904132604598999,0.9994710683822632,0.9987091422080994,0.9953562021255493,0.9889416098594666,0.9731894731521606,0.9422926306724548,-0.001212671515531838,-0.002951280912384391,-0.010484235361218452,-0.02433769218623638,-0.05489750951528549,-0.09622158855199814,5.451396942138672,0.9085661768913269,-0.10357816517353058,-0.0005947497556917369,-0.08958330750465393,2.9472389221191406,6000195.0
