t,drumAngleDeg,drumVelDeg_s,drumAccDeg_s2,TN2,dTN2,Tm,dTm,Thp,dThp,Tf,dTf,c[1],c[2],c[3],c[4],c[5],c[6],dc[1],dc[2],dc[3],dc[4],dc[5],dc[6],P_MW,n,dn,rho,rho_dollars,m_dot_steam,Q_to_steam
0.0,45.0,0.0,0.0,878.1500244140625,0.0,1150.1500244140625,0.0,1073.1500244140625,0.0,1173.1500244140625,-2.220446049250313e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,-1.9387063738510613e-15,0.0,0.0,2.947143077850342,6000000.0
0.10000000149011612,44.97649002075195,-0.23508255183696747,-2.350825548171997,878.1500244140625,4.262532797838503e-07,1150.1500244140625,0.001003514276817441,1073.1500244140625,3.360147456987761e-05,1173.150146484375,0.003390625584870577,1.000001072883606,1.0000027418136597,1.0000102519989014,1.0000253915786743,1.0000700950622559,1.0002212524414062,2.7355617930879816e-05,6.70843874104321e-05,0.00024662239593453705,0.0006135808071121573,0.0016834441339597106,0.00522235780954361,6.01231050491333,1.002051830291748,0.029439985752105713,1.909916136355605e-05,0.0028767830226570368,2.947143077850342,6000000.0
0.20000000298023224,44.953800201416016,-0.22692780196666718,0.08154740929603577,878.1500244140625,4.133290985919302e-06,1150.1502685546875,0.002482675714418292,1073.1500244140625,0.00016923366638366133,1173.1507568359375,0.00822308100759983,1.000005841255188,1.000014305114746,1.0000523328781128,1.0001296997070312,1.0003520250320435,1.0010522603988647,6.64570034132339e-05,0.0001628271274967119,0.0005961795104667544,0.0014709631213918328,0.0039379289373755455,0.011227656155824661,6.02992582321167,1.0049875974655151,0.02960832603275776,3.7504953070310876e-05,0.005649128463119268,2.947143077850342,6000000.0
0.30000001192092896,44.9318733215332,-0.21925128996372223,0.07676516473293304,878.1500244140625,1.4961355191189796e-05,1150.1505126953125,0.004027079790830612,1073.1500244140625,0.00041048595448955894,1173.1517333984375,0.01306893676519394,1.0000144243240356,1.0000354051589966,1.0001293420791626,1.0003188848495483,1.000851035118103,1.00240957736969,0.00010580699745332822,0.00025899428874254227,0.000944248226005584,0.002309502102434635,0.006027152296155691,0.015795288607478142,6.047676086425781,1.0079460144042969,0.029834097251296043,5.5254586186492816e-05,0.008322641253471375,2.947143077850342,6000000.0
0.4000000059604645,44.91069793701172,-0.2117505669593811,0.07500725984573364,878.1500244140625,3.6463392461882904e-05,1150.1510009765625,0.005633492022752762,1073.150146484375,0.0007509976858273149,1173.1533203125,0.01792008802294731,1.0000269412994385,1.0000660419464111,1.0002410411834717,1.0005908012390137,1.0015511512756348,1.0041676759719849,0.00014533688954543322,0.00035541682154871523,0.0012902298476547003,0.0031282242853194475,0.007960350252687931,0.019269641488790512,6.065530776977539,1.010921835899353,0.029956156387925148,7.236285455292091e-05,0.010899548418819904,2.947143077850342,6000000.0
0.5,44.890262603759766,-0.2043699324131012,0.0738062784075737,878.1500244140625,7.174444908741862e-05,1150.151611328125,0.007296506781131029,1073.150146484375,0.0011848433641716838,1173.1553955078125,0.022761572152376175,1.000043511390686,1.0001064538955688,1.0003873109817505,1.0009435415267944,1.0024369955062866,1.0062297582626343,0.0001849224354373291,0.0004517897614277899,0.0016330323414877057,0.003924946766346693,0.00974266231060028,0.02189960703253746,6.083434581756592,1.0139057636260986,0.02999441884458065,8.884005364961922e-05,0.013381402008235455,2.947143077850342,6000000.0
0.6000000238418579,44.870540618896484,-0.19722828269004822,0.07141657173633575,878.1500244140625,0.000123503094073385,1150.1524658203125,0.009011826477944851,1073.150390625,0.0017064595595002174,1173.1578369140625,0.027582833543419838,1.0000640153884888,1.0001564025878906,1.0005675554275513,1.0013748407363892,1.0034939050674438,1.0085214376449585,0.00022447454102803022,0.0005478951497934759,0.00197189231403172,0.004698335193097591,0.011380949057638645,0.023878728970885277,6.101346969604492,1.0168911218643188,0.029977940022945404,0.0001047061596182175,0.015771210193634033,2.947143077850342,6000000.5
0.699999988079071,44.851470947265625,-0.1906934231519699,0.06534850597381592,878.1500244140625,0.0001940708316396922,1150.1534423828125,0.010777460411190987,1073.1505126953125,0.002310724463313818,1173.160888671875,0.03238154947757721,1.0000883340835571,1.000216007232666,1.0007814168930054,1.0018823146820068,1.0047078132629395,1.0109857320785522,0.00026397034525871277,0.000643677543848753,0.002306651324033737,0.005448575597256422,0.0128855612128973,0.025364834815263748,6.11925745010376,1.01987624168396,0.0299671683460474,0.00012001095456071198,0.018076473847031593,2.947143316268921,6000000.5
0.800000011920929,44.83298873901367,-0.18481814861297607,0.05875278264284134,878.1500854492188,0.0002854532212950289,1150.1546630859375,0.012592973187565804,1073.1507568359375,0.0029930658638477325,1173.164306640625,0.03716069832444191,1.0001167058944702,1.0002851486206055,1.0010286569595337,1.002463698387146,1.006066083908081,1.0135796070098877,0.0003034297551494092,0.0007391867693513632,0.0026375374291092157,0.006176803261041641,0.014268607832491398,0.026484331116080284,6.137175559997559,1.0228626728057861,0.029978785663843155,0.0001348084188066423,0.020305320620536804,2.9471435546875,6000001.0
0.8999999761581421,44.81503677368164,-0.17949643731117249,0.05321705341339111,878.1500854492188,0.00039937059045769274,1150.156005859375,0.01445813849568367,1073.151123046875,0.0037494541611522436,1173.1683349609375,0.041923802345991135,1.000149130821228,1.000363826751709,1.001308798789978,1.0031168460845947,1.0075571537017822,1.0162715911865234,0.0003428772615734488,0.0008344836533069611,0.002964816987514496,0.006884220987558365,0.015541481785476208,0.027332965284585953,6.155112266540527,1.0258519649505615,0.030008651316165924,0.00014914384519215673,0.0224645733833313,2.947143793106079,6000001.5
1.0,44.797584533691406,-0.1745426505804062,0.04953800141811371,878.150146484375,0.0005372944287955761,1150.1575927734375,0.016372201964259148,1073.151611328125,0.00457632215693593,1173.1727294921875,0.04667241498827934,1.0001853704452515,1.0004520416259766,1.0016214847564697,1.0038397312164307,1.009170413017273,1.0190379619598389,0.00038232162478379905,0.0009295902564190328,0.003288612235337496,0.007571644615381956,0.016713690012693405,0.02797970548272133,6.173070907592773,1.0288450717926025,0.030040336772799492,0.0001630473998375237,0.02455877512693405,2.947144031524658,6000002.0
