profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_00836.mat,results_drum_profile_00836.csv,OK,200.000000,0.009002,2.009571,0.614172,0.033999,2.671745,run_00836
drum_profile_00837.mat,results_drum_profile_00837.csv,OK,200.000000,0.009998,1.981405,0.617990,0.035000,2.650391,run_00837
drum_profile_00838.mat,results_drum_profile_00838.csv,OK,200.000000,0.007002,1.971245,0.608285,0.034001,2.626527,run_00838
drum_profile_00839.mat,results_drum_profile_00839.csv,OK,200.000000,0.007999,2.000548,0.609085,0.033999,2.656631,run_00839
drum_profile_00840.mat,results_drum_profile_00840.csv,OK,200.000000,0.007002,2.038171,0.607172,0.034002,2.691412,run_00840
drum_profile_00841.mat,results_drum_profile_00841.csv,OK,200.000000,0.007998,1.982407,0.624428,0.035000,2.654829,run_00841
drum_profile_00842.mat,results_drum_profile_00842.csv,OK,200.000000,0.007999,2.031171,0.607993,0.035001,2.687163,run_00842
drum_profile_00843.mat,results_drum_profile_00843.csv,OK,200.000000,0.008001,1.869330,0.626283,0.034000,2.542615,run_00843
drum_profile_00844.mat,results_drum_profile_00844.csv,OK,200.000000,0.007000,1.999765,0.609258,0.034999,2.656023,run_00844
drum_profile_00845.mat,results_drum_profile_00845.csv,OK,200.000000,0.007999,2.041040,0.604992,0.034999,2.695029,run_00845
drum_profile_00846.mat,results_drum_profile_00846.csv,OK,200.000000,0.007033,2.008521,0.609052,0.034004,2.664256,run_00846
drum_profile_00847.mat,results_drum_profile_00847.csv,OK,200.000000,0.007998,1.985045,0.648991,0.036000,2.684036,run_00847
drum_profile_00848.mat,results_drum_profile_00848.csv,OK,200.000000,0.007999,1.997420,0.612331,0.034001,2.657752,run_00848
drum_profile_00849.mat,results_drum_profile_00849.csv,OK,200.000000,0.007998,1.963665,0.620126,0.039999,2.637793,run_00849
drum_profile_00850.mat,results_drum_profile_00850.csv,OK,200.000000,0.005999,1.871324,0.608991,0.033999,2.526314,run_00850
drum_profile_00851.mat,results_drum_profile_00851.csv,OK,200.000000,0.007999,1.994730,0.617201,0.033997,2.661931,run_00851
drum_profile_00852.mat,results_drum_profile_00852.csv,OK,200.000000,0.007997,1.885037,0.606992,0.034000,2.540029,run_00852
drum_profile_00853.mat,results_drum_profile_00853.csv,OK,200.000000,0.007003,2.007181,0.669993,0.033998,2.723174,run_00853
drum_profile_00854.mat,results_drum_profile_00854.csv,OK,200.000000,0.008996,2.056350,0.625087,0.035002,2.730434,run_00854
drum_profile_00855.mat,results_drum_profile_00855.csv,OK,200.000000,0.006997,1.870237,0.622991,0.034002,2.540228,run_00855
drum_profile_00856.mat,results_drum_profile_00856.csv,OK,200.000000,0.006953,2.002746,0.632235,0.034999,2.682979,run_00856
drum_profile_00857.mat,results_drum_profile_00857.csv,OK,200.000000,0.008003,1.856333,0.622992,0.035000,2.527329,run_00857
drum_profile_00858.mat,results_drum_profile_00858.csv,OK,200.000000,0.007402,1.970211,0.615991,0.034042,2.633243,run_00858
drum_profile_00859.mat,results_drum_profile_00859.csv,OK,200.000000,0.008001,1.989322,0.614990,0.035001,2.652316,run_00859
drum_profile_00860.mat,results_drum_profile_00860.csv,OK,200.000000,0.008000,1.882561,0.624126,0.034000,2.555686,run_00860
drum_profile_00861.mat,results_drum_profile_00861.csv,OK,200.000000,0.008000,1.884465,0.614992,0.034001,2.546458,run_00861
drum_profile_00862.mat,results_drum_profile_00862.csv,OK,200.000000,0.009004,1.984735,0.616993,0.036996,2.652728,run_00862
drum_profile_00863.mat,results_drum_profile_00863.csv,OK,200.000000,0.007998,1.984783,0.616059,0.034063,2.647905,run_00863
drum_profile_00864.mat,results_drum_profile_00864.csv,OK,200.000000,0.008000,1.854264,0.608994,0.034998,2.513258,run_00864
drum_profile_00865.mat,results_drum_profile_00865.csv,OK,200.000000,0.008000,2.002809,0.622991,0.034000,2.672801,run_00865
drum_profile_00866.mat,results_drum_profile_00866.csv,OK,200.000000,0.007999,1.986742,0.622170,0.034000,2.655915,run_00866
drum_profile_00867.mat,results_drum_profile_00867.csv,OK,200.000000,0.010005,1.984697,0.618095,0.035000,2.652777,run_00867
drum_profile_00868.mat,results_drum_profile_00868.csv,OK,200.000000,0.008001,2.043517,0.605995,0.034997,2.697508,run_00868
drum_profile_00869.mat,results_drum_profile_00869.csv,OK,200.000000,0.008000,1.979577,0.616063,0.033999,2.642643,run_00869
drum_profile_00870.mat,results_drum_profile_00870.csv,OK,200.000000,0.006999,2.047507,0.627235,0.035000,2.723745,run_00870
drum_profile_00871.mat,results_drum_profile_00871.csv,OK,200.000000,0.008005,2.048093,0.624993,0.035000,2.720091,run_00871
drum_profile_00872.mat,results_drum_profile_00872.csv,OK,200.000000,0.008000,2.056581,0.614183,0.034001,2.717765,run_00872
drum_profile_00873.mat,results_drum_profile_00873.csv,OK,200.000000,0.007997,2.038470,0.612991,0.035002,2.699462,run_00873
drum_profile_00874.mat,results_drum_profile_00874.csv,OK,200.000000,0.009000,1.889462,0.609160,0.034003,2.546630,run_00874
drum_profile_00875.mat,results_drum_profile_00875.csv,OK,200.000000,0.007998,2.000101,0.620995,0.034997,2.671092,run_00875
drum_profile_00876.mat,results_drum_profile_00876.csv,OK,200.000000,0.007997,2.003273,0.684428,0.034086,2.734783,run_00876
drum_profile_00877.mat,results_drum_profile_00877.csv,OK,200.000000,0.008000,1.980105,0.650992,0.036003,2.681099,run_00877
drum_profile_00878.mat,results_drum_profile_00878.csv,OK,200.000000,0.008002,2.025630,0.614040,0.034001,2.686926,run_00878
drum_profile_00879.mat,results_drum_profile_00879.csv,OK,200.000000,0.008002,1.897189,0.611991,0.034003,2.556186,run_00879
drum_profile_00880.mat,results_drum_profile_00880.csv,OK,200.000000,0.008004,1.870061,0.629989,0.033999,2.547053,run_00880
drum_profile_00881.mat,results_drum_profile_00881.csv,OK,200.000000,0.009001,1.998201,0.614100,0.035002,2.660303,run_00881
drum_profile_00882.mat,results_drum_profile_00882.csv,OK,200.000000,0.007999,1.975493,0.618991,0.034001,2.641484,run_00882
drum_profile_00883.mat,results_drum_profile_00883.csv,OK,200.000000,0.008001,2.003842,0.614989,0.035999,2.667835,run_00883
drum_profile_00884.mat,results_drum_profile_00884.csv,OK,200.000000,0.007000,1.869392,0.610996,0.036997,2.530383,run_00884
drum_profile_00885.mat,results_drum_profile_00885.csv,OK,200.000000,0.007998,2.049119,0.621164,0.036000,2.719280,run_00885
drum_profile_00886.mat,results_drum_profile_00886.csv,OK,200.000000,0.008001,2.005651,0.612054,0.036004,2.666711,run_00886
drum_profile_00887.mat,results_drum_profile_00887.csv,OK,200.000000,0.007999,2.035903,0.614166,0.035058,2.699126,run_00887
drum_profile_00888.mat,results_drum_profile_00888.csv,OK,200.000000,0.007000,1.981000,0.614993,0.033997,2.643991,run_00888
drum_profile_00889.mat,results_drum_profile_00889.csv,OK,200.000000,0.007997,2.043566,0.616992,0.037000,2.710556,run_00889
drum_profile_00890.mat,results_drum_profile_00890.csv,OK,200.000000,0.008001,1.989550,0.605098,0.034999,2.642650,run_00890
drum_profile_00891.mat,results_drum_profile_00891.csv,OK,200.000000,0.007998,1.969539,0.611153,0.034999,2.628693,run_00891
drum_profile_00892.mat,results_drum_profile_00892.csv,OK,200.000000,0.009001,2.033730,0.621194,0.035000,2.704925,run_00892
drum_profile_00893.mat,results_drum_profile_00893.csv,OK,200.000000,0.010000,1.994531,0.620992,0.034000,2.665524,run_00893
drum_profile_00894.mat,results_drum_profile_00894.csv,OK,200.000000,0.007997,1.999720,0.608994,0.033999,2.655712,run_00894
drum_profile_00895.mat,results_drum_profile_00895.csv,OK,200.000000,0.008999,2.080394,0.611225,0.035064,2.741682,run_00895
drum_profile_00896.mat,results_drum_profile_00896.csv,OK,200.000000,0.007998,2.079484,0.621993,0.033999,2.750477,run_00896
drum_profile_00897.mat,results_drum_profile_00897.csv,OK,200.000000,0.008000,1.717630,0.618115,0.033999,2.382744,run_00897
drum_profile_00898.mat,results_drum_profile_00898.csv,OK,200.000000,0.006997,2.012462,0.614039,0.035000,2.675495,run_00898
drum_profile_00899.mat,results_drum_profile_00899.csv,OK,200.000000,0.007001,2.060247,0.610090,0.034996,2.721336,run_00899
drum_profile_00900.mat,results_drum_profile_00900.csv,OK,200.000000,0.008001,1.871485,0.610257,0.035002,2.529747,run_00900
drum_profile_00901.mat,results_drum_profile_00901.csv,OK,200.000000,0.007005,2.051928,0.613171,0.033999,2.711103,run_00901
drum_profile_00902.mat,results_drum_profile_00902.csv,OK,200.000000,0.007580,2.003777,0.616990,0.035000,2.668350,run_00902
drum_profile_00903.mat,results_drum_profile_00903.csv,OK,200.000000,0.008000,2.055327,0.615171,0.035001,2.719498,run_00903
drum_profile_00904.mat,results_drum_profile_00904.csv,OK,200.000000,0.009003,2.037581,0.616278,0.034062,2.701925,run_00904
drum_profile_00905.mat,results_drum_profile_00905.csv,OK,200.000000,0.007466,1.975973,0.617049,0.034000,2.640024,run_00905
drum_profile_00906.mat,results_drum_profile_00906.csv,OK,200.000000,0.008997,2.031758,0.615227,0.034060,2.694043,run_00906
drum_profile_00907.mat,results_drum_profile_00907.csv,OK,200.000000,0.008000,2.050169,0.619993,0.034002,2.717163,run_00907
drum_profile_00908.mat,results_drum_profile_00908.csv,OK,200.000000,0.007306,2.037472,0.615989,0.034999,2.701537,run_00908
drum_profile_00909.mat,results_drum_profile_00909.csv,OK,200.000000,0.006997,1.845923,0.628297,0.034988,2.522208,run_00909
