t,drumAngleDeg,drumVelDeg_s,drumAccDeg_s2,TN2,dTN2,Tm,dTm,Thp,dThp,Tf,dTf,c[1],c[2],c[3],c[4],c[5],c[6],P_MW,n,dn,rho_dollars,rho_drums_dollars,rho_fuel_dollars,rho_moderator_dollars,m_dot_steam,Q_to_steam
0.0,45.0,0.0,-0.002709012245759368,878.1500244140625,0.0,1150.1500244140625,0.0,1073.1500244140625,0.0,1173.1500244140625,-2.220446049250313e-16,111.29100036621094,176.1285400390625,49.229705810546875,45.46345901489258,5.53322696685791,0.7900465726852417,6.0,1.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,2.947143077850342,6000000.0
0.10000000149011612,45.0,-0.0002709012187551707,-0.0027117987629026175,878.1500244140625,0.0,1150.1500244140625,0.0,1073.1500244140625,0.0,1173.1500244140625,-2.220446049250313e-16,111.29100036621094,176.1285400390625,49.229705810546875,45.46345901489258,5.53322696685791,0.7900465726852417,6.0,1.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,2.947143077850342,6000000.0
0.20000000298023224,44.99997329711914,-0.0005420810775831342,-0.0026987686287611723,878.1500244140625,5.704805516870692e-10,1150.1500244140625,1.130567170548602e-06,1073.1500244140625,3.9224673287208134e-08,1173.1500244140625,3.817173819697928e-06,111.29100036621094,176.1285400390625,49.229705810546875,45.463462829589844,5.533227443695068,0.790046751499176,6.000013828277588,1.0000022649765015,3.5574452340370044e-05,3.315766662126407e-06,3.317062919450109e-06,-1.1348120221299496e-09,-1.614115785475434e-10,2.947143077850342,6000000.0
0.30000001192092896,44.99991989135742,-0.0008119579288177192,-0.002605737652629614,878.1500244140625,5.424183768809598e-09,1150.1500244140625,4.02232490159804e-06,1073.1500244140625,2.3504362900439446e-07,1173.1500244140625,1.3397490874922369e-05,111.29100799560547,176.1285400390625,49.22970962524414,45.463470458984375,5.533229351043701,0.7900477647781372,6.000048637390137,1.0000081062316895,7.058740447973832e-05,9.946700629370753e-06,9.954595952876844e-06,-6.903805527258555e-09,-9.914202792060678e-10,2.947143077850342,6000000.0
0.4000000059604645,44.99983596801758,-0.0010725316824391484,-0.002450828906148672,878.1500244140625,2.287140432599699e-08,1150.1500244140625,8.768280167714693e-06,1073.1500244140625,7.140833986341022e-07,1173.1500244140625,2.8808482966269366e-05,111.29100799560547,176.12855529785156,49.22971725463867,45.46348571777344,5.5332350730896,0.7900499701499939,6.000104904174805,1.000017523765564,0.00010675462544895709,1.9872239136020653e-05,1.989663542190101e-05,-2.1305943675997696e-08,-3.090540490191529e-09,2.947143077850342,6000000.0
0.5,44.99972915649414,-0.0013176145730540156,-0.00229891506023705,878.1500244140625,6.552446052410232e-08,1150.1500244140625,1.545026862004306e-05,1073.1500244140625,1.5967036688380176e-06,1173.1500244140625,5.008024527342059e-05,111.29100799560547,176.12855529785156,49.22972869873047,45.46351623535156,5.533245086669922,0.7900538444519043,6.000182628631592,1.0000303983688354,0.0001428234245395288,3.29737740685232e-05,3.302925324533135e-05,-4.838932454731548e-08,-7.090552589517074e-09,2.947143077850342,6000000.0
0.6000000238418579,44.99959945678711,-0.0015475060790777206,-0.0020940881222486496,878.1500244140625,1.497626698210297e-07,1150.1500244140625,2.4100303562590852e-05,1073.1500244140625,2.994798478539451e-06,1173.1500244140625,7.707816257607192e-05,111.291015625,176.1285858154297,49.22975158691406,45.46356964111328,5.533260822296143,0.7900596261024475,6.000281810760498,1.000046968460083,0.00017792444850783795,4.905695459456183e-05,4.916275793220848e-05,-9.216390850497191e-08,-1.3641940910247286e-08,2.947143077850342,6000000.0
0.699999988079071,44.99944305419922,-0.0017569148913025856,-0.00187584082596004,878.1500244140625,2.9514004040720465e-07,1150.1500244140625,3.473115066299215e-05,1073.1500244140625,5.010031600249931e-06,1173.1500244140625,0.00010961310908896849,111.29102325439453,176.1286163330078,49.22978591918945,45.46364212036133,5.533283710479736,0.7900676131248474,6.000401020050049,1.000066876411438,0.00021200474293436855,6.793119246140122e-05,6.811111961724237e-05,-1.5652348395178706e-07,-2.3402058957344707e-08,2.947143077850342,6000000.0
0.800000011920929,44.999267578125,-0.0019444989738985896,-0.0016054932493716478,878.1500244140625,5.237944264990801e-07,1150.1500244140625,4.732541856355965e-05,1073.1500244140625,7.733361599093769e-06,1173.1500244140625,0.00014740650658495724,111.2910385131836,176.128662109375,49.22983169555664,45.463741302490234,5.5333147048950195,0.7900778651237488,6.000540256500244,1.0000901222229004,0.00024424982257187366,8.934127981774509e-05,8.962350693764165e-05,-2.452040916978149e-07,-3.702806594674257e-08,2.947143077850342,6000000.0
0.8999999761581421,44.99907302856445,-0.002105048391968012,-0.0014207838103175163,878.1500244140625,8.598539125159732e-07,1150.1500244140625,6.183905497891828e-05,1073.1500244140625,1.1243816516071092e-05,1173.1500244140625,0.00019010620599146932,111.29105377197266,176.12872314453125,49.229888916015625,45.46387481689453,5.533353805541992,0.7900903820991516,6.000698089599609,1.0001163482666016,0.0002743926888797432,0.00011301579070277512,0.00011343268124619499,-3.617209358708351e-07,-5.516649892456371e-08,2.947143077850342,6000000.0
1.0,44.998863220214844,-0.0022471267729997635,-0.0012540471507236362,878.1500244140625,1.3288400850797188e-06,1150.1500244140625,7.819294114597142e-05,1073.1500244140625,1.5607600289513357e-05,1173.1500244140625,0.0002372608141740784,111.29106903076172,176.12879943847656,49.22996520996094,45.46403884887695,5.533402442932129,0.7901052832603455,6.000872611999512,1.000145435333252,0.0003016334376297891,0.00013861982733942568,0.00013920759374741465,-5.093141339784779e-07,-7.844381855193205e-08,2.947143077850342,6000000.0
1.100000023841858,44.99863815307617,-0.0023725314531475306,-0.001050758408382535,878.1500244140625,1.9570827589632245e-06,1150.1500244140625,9.632070577936247e-05,1073.1500244140625,2.087826214847155e-05,1173.150146484375,0.0002884854911826551,111.29109191894531,176.12889099121094,49.23005676269531,45.46424102783203,5.533461093902588,0.7901224493980408,6.001062870025635,1.0001771450042725,0.00032699527218937874,0.00016592365864198655,0.0001667220494709909,-6.909253329467901e-07,-1.0746090595148416e-07,2.947143077850342,6000000.0
1.2000000476837158,44.9984016418457,-0.002477607224136591,-0.0008271952974610031,878.1500244140625,2.7712417249858845e-06,1150.1500244140625,0.0001161708714789711,1073.1500244140625,2.7099711587652564e-05,1173.150146484375,0.00034346492611803114,111.29112243652344,176.12899780273438,49.230167388916016,45.464481353759766,5.533529281616211,0.7901418209075928,6.001267433166504,1.000211238861084,0.00035056573688052595,0.0001947198179550469,0.00019577187777031213,-9.092589721149125e-07,-1.427997062819486e-07,2.947143077850342,6000000.0
1.2999999523162842,44.99815368652344,-0.0025603268295526505,-0.0006757536320947111,878.1500244140625,3.7979325497872196e-06,1150.1500244140625,0.00013767123164143413,1073.1500244140625,3.430699143791571e-05,1173.150146484375,0.00040183027158491313,111.29115295410156,176.12913513183594,49.23029708862305,45.464759826660156,5.5336079597473145,0.7901632785797119,6.001485347747803,1.000247597694397,0.00037178382626734674,0.00022475633886642754,0.0002261081535834819,-1.1667863191178185e-06,-1.8502204568449088e-07,2.947143077850342,6000000.0
