profile_mat,csv_out,status,stop_time_s,matread_s,simulate_s,extract_s,write_s,total_run_s,result_base
drum_profile_01765.mat,results_drum_profile_01765.csv,OK,200.000000,0.008000,2.185109,0.607994,0.034001,2.840106,run_01765
drum_profile_01766.mat,results_drum_profile_01766.csv,OK,200.000000,0.008002,2.254366,0.604997,0.034997,2.908361,run_01766
drum_profile_01767.mat,results_drum_profile_01767.csv,OK,200.000000,0.007000,2.259804,0.609994,0.034000,2.916799,run_01767
drum_profile_01768.mat,results_drum_profile_01768.csv,OK,200.000000,0.008004,2.196946,0.606993,0.034000,2.850945,run_01768
drum_profile_01769.mat,results_drum_profile_01769.csv,OK,200.000000,0.007003,2.249164,0.597995,0.036000,2.895163,run_01769
drum_profile_01770.mat,results_drum_profile_01770.csv,OK,200.000000,0.008000,2.208484,0.605996,0.035000,2.862480,run_01770
drum_profile_01771.mat,results_drum_profile_01771.csv,OK,200.000000,0.007000,2.191089,0.608995,0.034001,2.846096,run_01771
drum_profile_01772.mat,results_drum_profile_01772.csv,OK,200.000000,0.009002,2.187606,0.611995,0.034999,2.848603,run_01772
drum_profile_01773.mat,results_drum_profile_01773.csv,OK,200.000000,0.007999,2.138680,0.610111,0.034000,2.795789,run_01773
drum_profile_01774.mat,results_drum_profile_01774.csv,OK,200.000000,0.006997,2.391482,0.602995,0.034000,3.040473,run_01774
drum_profile_01775.mat,results_drum_profile_01775.csv,OK,200.000000,0.007002,2.222589,0.602999,0.033999,2.870586,run_01775
drum_profile_01776.mat,results_drum_profile_01776.csv,OK,200.000000,0.007002,2.196954,0.611604,0.035000,2.855557,run_01776
drum_profile_01777.mat,results_drum_profile_01777.csv,OK,200.000000,0.008002,2.244776,0.606992,0.034000,2.899772,run_01777
drum_profile_01778.mat,results_drum_profile_01778.csv,OK,200.000000,0.007001,2.071916,0.610995,0.034003,2.728915,run_01778
drum_profile_01779.mat,results_drum_profile_01779.csv,OK,200.000000,0.009000,2.062153,0.604992,0.035002,2.716151,run_01779
drum_profile_01780.mat,results_drum_profile_01780.csv,OK,200.000000,0.008001,2.144154,0.610992,0.034003,2.802150,run_01780
drum_profile_01781.mat,results_drum_profile_01781.csv,OK,200.000000,0.009838,2.211183,0.635992,0.034000,2.896015,run_01781
drum_profile_01782.mat,results_drum_profile_01782.csv,OK,200.000000,0.007996,2.130448,0.609994,0.034000,2.787437,run_01782
